	Joint SMILE	U	H	F
0	O=O.CC(C)C	-158.336603	-158.335658	-158.370016
1	O=O.CCCC	-158.33517	-158.334226	-158.36893999999995
2	C.C1COCO1	-308.745077	-308.74318800000003	-308.80089000000004
3	C.COCC=O	-308.74309500000004	-308.741205	-308.80171700000005
4	C.CC(=O)CO	-308.771146	-308.769257	-308.829904
5	C.OCC1CO1	-308.719553	-308.717664	-308.775825
6	C.O=CCCO	-308.75266400000004	-308.75077500000003	-308.81093500000003
7	C.OC1COC1	-308.719296	-308.717407	-308.77516900000006
8	C.CC(O)C=O	-308.757567	-308.755678	-308.815579
9	C.CCOC=O	-308.778053	-308.77616400000005	-308.83603600000004
10	C.OC1CC1O	-308.721914	-308.720025	-308.777531
11	C.COC(C)=O	-308.791113	-308.789223	-308.84981100000005
12	C=O.CCOC	-308.729331	-308.727443	-308.787167
13	C=O.CCCO	-308.736241	-308.734353	-308.794198
14	C=O.CC(C)O	-308.742494	-308.740606	-308.79993099999996
15	CO.OC1CC1	-308.70617200000004	-308.70428300000003	-308.76356499999997
16	CO.C1COC1	-308.705784	-308.703896	-308.762653
17	CO.CC1CO1	-308.711002	-308.709114	-308.767855
18	CO.CC(C)=O	-308.758785	-308.756896	-308.818352
19	CO.CCC=O	-308.745932	-308.744043	-308.804674
20	CC.COC=O	-308.76966899999996	-308.76778099999996	-308.828355
21	CC.O=CCO	-308.748435	-308.746547	-308.807187
22	CC=O.CCO	-308.75214	-308.75025100000005	-308.81066599999997
23	CC=O.COC	-308.739773	-308.737884	-308.79826499999996
24	C1CO1.CCO	-308.7078220000001	-308.70593299999996	-308.76478999999995
25	C1CO1.COC	-308.69545500000004	-308.693566	-308.752389
26	CC1COC1.O	-308.722415	-308.720526	-308.776925
27	CC1CCO1.O	-308.72774400000003	-308.725855	-308.78193799999997
28	CC(C)C=O.O	-308.760444	-308.758555	-308.81693800000005
29	CC1CC1O.O	-308.72519400000004	-308.723305	-308.779775
30	CC1(O)CC1.O	-308.729601	-308.727712	-308.783819
31	CC1(C)CO1.O	-308.731848	-308.729959	-308.78643999999997
32	C1CCOC1.O	-308.74869100000006	-308.746802	-308.80283699999995
33	OCC1CC1.O	-308.72112300000003	-308.71923400000003	-308.775979
34	CC1OC1C.O	-308.73043700000005	-308.728548	-308.785413
35	OC1CCC1.O	-308.72996400000005	-308.728075	-308.783452
36	COC1CC1.O	-308.71361	-308.71172	-308.768274
37	CCCC=O.O	-308.75915000000003	-308.757261	-308.81590900000003
